description,category,source_bank,transaction_type
DONASI SOSIAL CITRA DEWI,transfer_sosial,Permata,transfer
TRANSFER BELANJA KELUARGA KURNIA SARI,transfer_keluarga,BSI,transfer
PYMNT DOKTERKU,kesehatan,BCA,debit
IPY GRABFOOD,makanan,BCA,debit
BYR VIA M-BANKING TAGIHAN BPJS KESEHATAN 146,tagihan,BSI,debit
SUMBANGAN MASJID NURI RAHAYU,transfer_sosial,BCA,transfer
QRIS PMT WARUNG NASI GORENG MDN,makanan,Permata,debit
PEMBAYARAN RAWAT RS PREMIER JATINEGARA,kesehatan,CIMB,debit
IPY XL PRABAYAR 865883,tagihan,BSI,debit
IPY BIMBELNEUTRON,pendidikan,BCA,debit
BAYAR KLINIK APOTEK GUARDIAN LPG,kesehatan,CIMB,debit
TRSF E-BANKING DB AXIS,tagihan,Mandiri,debit
DB EDC PARKIR KOTA,transport,BCA,debit
DB NETFLIX.COM,hiburan,Permata,debit
IPY TRAVELOKA,transport,Mandiri,debit
BYR TAGIHAN PLN TOKEN LISTRIK,tagihan,BCA,debit
SA OB TABUNGAN BISNIS,transfer_internal,Mandiri,transfer
VIS WATSONS,belanja,Mandiri,debit
KIRIM KONDANGAN VINA OKTAVIA,transfer_sosial,BCA,transfer
DB SHOPEE PAYMENT,belanja,Mandiri,debit
PRC MARUGAME UDON BTM 804,makanan,BRI,debit
DB TOKOPEDIA BELANJA,belanja,BSI,debit
DB TRAVELOKA EATS ORDER,makanan,Mandiri,debit
DEBIT EDC SHELL SPBU YK,transport,Danamon,debit
TRSF E-BANKING DB 5695819644  MEGA PUSPITA RUTIN,transfer_keluarga,CIMB,transfer
BYR TAGIHAN TELKOMSEL SIMPATI,tagihan,Danamon,debit
TRANSFER KE LESTARI  NINGRUM NAFKAH BULANAN,transfer_keluarga,BCA,transfer
TRF KE DANA 43927,topup_ewallet,DANA,ewallet
BAYAR KLINIK LABORATORIUM PRAMITA BGR,kesehatan,Mandiri,debit
DEBIT EDC SPP UNIVERSITAS JKT,pendidikan,BCA,debit
NP ADIDAS STORE SOL,belanja,BRI,debit
NP BIOSKOP XXI SMG,hiburan,BRI,debit
IPY GRABFOOD,makanan,BNI,debit
SA OB TABUNGAN BISNIS,transfer_internal,Mandiri,transfer
BAYAR TAGIHAN BPJSTK,tagihan,BRI,debit
PRC WARUNG PADANG SEDERHANA SMG,makanan,BRI,debit
TRSF E-BANKING DB SKILL ACADEMY,pendidikan,BSI,debit
DEBIT EDC APOTEK KIMIA FARMA TNG,kesehatan,BRI,debit
BAYAR TAGIHAN TRI,tagihan,BRI,debit
TRSF E-BANKING DBLAZADA,belanja,BNI,debit
TRANSFER BELANJA KELUARGA RATNA SARI,transfer_keluarga,Mandiri,transfer
PATUNGAN ULANG TAHUN IRA YUNITA,transfer_sosial,BCA,transfer
BAYAR TAGIHAN SMARTFREN,tagihan,BNI,debit
TRF ARISAN TIKA RAHMADHANI 02,transfer_sosial,BNI,transfer
AUTODEBET BIZNET HOME,tagihan,BNI,debit
AUTODEBET PGN GAS RUMAH,tagihan,BRI,debit
DB EDC AMAZONE,hiburan,Mandiri,debit
TRSF E-BANKING DB SUNATAN,lainnya,Permata,debit
DB EDC DUFAN,hiburan,CIMB,debit
PYMNT TAGIHAN INTERNET INDIHOME 5429312759,tagihan,Danamon,debit
BELANJA MINISO BKS,belanja,BSI,debit
DEBIT EDC COTTON INK BPN,belanja,Danamon,debit
NP MRT JAKARTA PBR,transport,BRI,debit
AUTODEBET BPJS KESEHATAN,tagihan,BSI,debit
QRIS PMT PARKIR TNG,transport,BNI,debit
NP CONVERSE STORE SBY,belanja,BRI,debit
DEBIT EDC LOTTEMARTMDN,belanja,Permata,debit
PEMBAYARAN GOFOOD,makanan,CIMB,debit
DB EDC TRANSJAKARTA,transport,Permata,debit
QRIS PMT PARKIR BGR,transport,Danamon,debit
DB TRAVELOKA EATS FOOD,makanan,BNI,debit
DEBIT EDC MATAHARI DEPT STORE SMG,belanja,BNI,debit
TRSF E-BANKING DB KAI ACCESS,transport,BNI,debit
BYR IURAN BULANAN RT 48884135,tagihan,CIMB,debit
TRANSFER KE GOPAY 296911,topup_ewallet,GoPay,ewallet
VIS THE BODY SHOP,belanja,Mandiri,debit
PEMBAYARAN PLN PREPAID 0719095031,tagihan,BSI,debit
DEBIT EDC KURSUS KOMPUTER JKT,pendidikan,Danamon,debit
DB ZALORA PAYMENT,belanja,Permata,debit
PEMBAYARAN RAWAT RS PREMIER JATINEGARA,kesehatan,CIMB,debit
TRSF E-BANKING DB 9127298729 PANDU ADITYA RUTIN,transfer_keluarga,BRI,transfer
QRIS PMT NEW ERA PLB,belanja,BRI,debit
QRIS PMT BIMBEL GANESHA OPERATION,pendidikan,BNI,debit
TOP UP DANA VIA BSI,topup_ewallet,DANA,ewallet
DB TAGIHAN INTERNET INDIHOME,tagihan,BCA,debit
DB FLAZZ TOPUP,transport,BNI,debit
BELANJA ADIDAS STORE SBY,belanja,Mandiri,debit
PYMNT BPJS KETENAGAKERJAAN 7893274429,tagihan,CIMB,debit
APY PERTAMINA SPBU,transport,BCA,debit
DB EDC NEW ERABDG,belanja,BCA,debit
TRSF E-BANKING DB SERVICE AC,lainnya,Permata,debit
TRSF E-BANKING DB 4621791510 OLIVIA SINAGA RUTIN,transfer_keluarga,BSI,transfer
DEBIT EDC APOTEK KIMIA FARMA SBY,kesehatan,Mandiri,debit
BIAYA BEROBAT APOTEK VIVA GENERIK,kesehatan,Permata,debit
BYR SEDEKAH 104233,lainnya,BRI,debit
DB EDC AHASS HONDA,transport,BRI,debit
NP TIMEZONE SMG,hiburan,BRI,debit
DEBIT EDC H&M BPN,belanja,BNI,debit
TRSF E-BANKING DB TIKTOK SHOP,belanja,BCA,debit
BELANJA RAMAYANA BGR,belanja,Mandiri,debit
DB MAXIM RIDE,transport,BCA,debit
SA OB CA TABUNGAN KE DEPOSITO,transfer_internal,Mandiri,transfer
IPY KURSUS BAHASA EF ENGLISH,pendidikan,Mandiri,debit
AUTODEBET TELKOMSEL SIMPATI,tagihan,BSI,debit
PEMBAYARAN TRAVELOKA EATS,makanan,Permata,debit
AUTODEBET CICILAN FIF MOTOR,tagihan,BRI,debit
KIRIMAN BULANAN SUAMI UMI KALSUM,transfer_keluarga,BRI,transfer
PYMNT TRAVELOKA,transport,Permata,debit
TRSF E-BANKING DB2799082950 DINA FITRIANI,transfer_sosial,BRI,transfer
SWITCHING DB TOL BKS,transport,Danamon,debit
DB GRABHEALTH 767,kesehatan,Danamon,debit
TRSF E-BANKING DB GOPAY 280882517828,topup_ewallet,GoPay,ewallet
E-BANKING DB TELKOMSEL KARTU AS,tagihan,Permata,debit
QRIS PMT KLINIK GIGI BDG,kesehatan,BSI,debit
TRSF E-BANKING DB LAZADA,belanja,BCA,debit
TOP UP OVO VIA Permata,topup_ewallet,OVO,ewallet
MYREPUBLIC 362384,tagihan,Mandiri,debit
KIRIMAN BULANAN SUAMI INDRA KUSUMA,transfer_keluarga,Mandiri,transfer
TRSF E-BANKING DB KLIKDOKTER,kesehatan,Danamon,debit
NP PEPPER LUNCH DPK,makanan,BRI,debit
DEBIT EDC THE BODY SHOP LPG,belanja,BCA,debit
QRIS PMT BIMBEL NEUTRON,pendidikan,Danamon,debit
SA IB PRIMA Dr Trf 0011594080,tidak_diketahui,BCA,transfer
SWITCHING DB CIMB 6317834983 NURI RAHAYU,transfer_sosial,Mandiri,transfer
DB DUOLINGO PLUS,pendidikan,Danamon,debit
DEBIT EDC BIOSKOP CGV YK,hiburan,BNI,debit
IPY TRAVELOKA,transport,CIMB,debit
BIAYA BEROBAT RS PREMIER JATINEGARA,kesehatan,CIMB,debit
KONSULTASI GOODDOCTOR,kesehatan,Permata,debit
switching db topup ovo,topup_ewallet,OVO,ewallet
BAYAR TAGIHAN CICILAN KPR BTN,tagihan,Danamon,debit
TRSF E-BANKING DB BLIBLI,belanja,Danamon,debit
SA OB CA TABUNGAN KE DEPOSITO,transfer_internal,Mandiri,transfer
TRANSFER KAS RT NURI RAHAYU,transfer_sosial,CIMB,transfer
NP LAWSON MKS,belanja,BRI,debit
qris pmt bengkel suzuki bgr,transport,BNI,debit
TRSF E-BANKING DB GRABFOOD,makanan,BRI,debit
EDC BIOSKOP XXI JKT,hiburan,CIMB,debit
PEMBAYARAN RAWAT APOTEK KIMIA FARMA,kesehatan,Mandiri,debit
INFAQ JUMAT 946546,transfer_sosial,BRI,transfer
DEBIT EDC URBAN REPUBLIC SOL,belanja,Permata,debit
VIS SAMSUNG STORE,belanja,Mandiri,debit
DB EDC AMAZONE,hiburan,Mandiri,debit
PEMBAYARAN GOFOOD 957,makanan,CIMB,debit
SWITCHING DB BCA 0221574920 SARI INDAH,transfer_sosial,Danamon,transfer
BELANJA DAISO TNG,belanja,BNI,debit
DEBIT EDC SEDEKAH BPN,lainnya,BRI,debit
QRIS PMT PARKIR DPK,transport,BCA,debit
DB EDC PUSKESMAS,kesehatan,BNI,debit
TRSF E-BANKING DB ORAMI,belanja,Permata,debit
TRSF E-BANKING DB SPP UNIVERSITAS,pendidikan,Permata,debit
PYMNT ZALORA,belanja,Permata,debit
QRIS PMT INUL VIZTA PBR,hiburan,BSI,debit
QRIS PMT  HAPPY PUPPY KTV BGR,hiburan,Mandiri,debit
IPY  KURSUS MUSIK YAMAHA,pendidikan,BNI,debit
BYR SUNATAN 449452442977,lainnya,Mandiri,debit
TRANSFER KAS RT YANTI PERMATA,transfer_sosial,BSI,transfer
NP DONASI PMI LPG,lainnya,BRI,debit
BYR GRAMEDIA BOOKSTORE 4051562638,pendidikan,CIMB,debit
DB DONASI PMI 862,lainnya,Danamon,debit
MAKAN WARUNG NASI GORENG BKS,makanan,BSI,debit
DB EDC SABANA FRIED CHICKEN TNG,makanan,Permata,debit
IURAN ARISAN BULANAN DEWI ,transfer_sosial,Permata,transfer
DB FLAZZ TOPUP,transport,BNI,debit
BYR TAGIHAN IURAN BULANAN RT,tagihan,Permata,debit
DB FLAZZ TOPUP,transport,Permata,debit
IPY RUANGGURU,pendidikan,Mandiri,debit
KIRIM KE ADIK LESTARI NINGRUM 9607514255,transfer_keluarga,BSI,transfer
IPY TOKOPEDIA,belanja,BNI,debit
IPY PGN GAS RUMAH 51757587,tagihan,BRI,debit
RESTO RICHEESE FACTORY BKS,makanan,Mandiri,debit
IPY SHOPEEFOOD,makanan,Permata,debit
VIS JANJI JIWA DPK,makanan,Mandiri,debit
QRIS PMT KURSUS MUSIK YAMAHA,pendidikan,BNI,debit
FOOD AYAM GEPREK BENSU YK,makanan,Danamon,debit
DB GOFOOD ORDER,makanan,Permata,debit
TRSF E-BANKING DB TIKET.COM,transport,CIMB,debit
PRC RAMAYANA DPK,belanja,BSI,debit
IPY UDEMY LEARNING,pendidikan,BRI,debit
SWITCHING DB TOL PBR,transport,Permata,debit
IPY TOKOPEDIA,belanja,BSI,debit
IPY GRABFOOD,makanan,Permata,debit
JUMAT 573658,transfer_sosial,BNI,transfer
TRSF E-BANKING DB GRAB,transport,BSI,debit
BAYAR TAGIHAN CICILAN FIF MOTOR,tagihan,BSI,debit
BAYAR KLINIK LABORATORIUM CITO JKT,kesehatan,BSI,debit
NP DAISO TNG,belanja,BRI,debit
BIAYA BEROBATPUSKESMAS,kesehatan,CIMB,debit
NP RS HERMINA BGR,kesehatan,BRI,debit
NP MATAHARI DEPT STORE SOL,belanja,BRI,debit
DB EDC BIOSKOP XXI,hiburan,Mandiri,debit
TOP UP LINKAJA 748836031420,topup_ewallet,LinkAja,ewallet
DEBIT EDC SAMSUNG STORE SOL,belanja,BNI,debit
BYR VIA M-BANKING PLN PRABAYAR,tagihan,BNI,debit
DONASI TIKA RAHMADHANI 255196 324,transfer_sosial,Permata,transfer
DB TRAVELOKA RIDE,transport,BRI,debit
PYMNT KLIKDOKTER,kesehatan,BSI,debit
NP APOTEK WATSONS BGR,kesehatan,BRI,debit
TRSF DEBIT 34020634,tidak_diketahui,Danamon,transfer
BELANJA DAISO DPS,belanja,Danamon,debit
DB LAZADA PAYMENT,belanja,Mandiri,debit
DEBIT EDC RS MEDISTRA SOL,kesehatan,Mandiri,debit
NP TIMEZONE MKS,hiburan,BRI,debit
DB TELKOMSEL SIMPATI,tagihan,CIMB,debit
TRSF E-BANKING DB 7704622224,tidak_diketahui,BCA,transfer
PRC URBAN REPUBLIC BKS,belanja,Mandiri,debit
QRIS PMT BIMBEL NEUTRON,pendidikan,BCA,debit
BYR DONASI PMI 8645989494,lainnya,Permata,debit
DB EDC GOLD GYM,hiburan,CIMB,debit
IPY COURSERA,pendidikan,Mandiri,debit
pembayaran shopee order,belanja,BSI,debit
NP MRTJAKARTA JKT,transport,BRI,debit
TRF KE DANA 17402244,topup_ewallet,DANA,ewallet
PYMNT GOFOOD,makanan,Permata,debit
FOOD GEPREK BENSU MKS,makanan,Permata,debit
EDC CINEPOLIS BKS,hiburan,BSI,debit
DB CICILAN KPR BRI,tagihan,BNI,debit
PYMNT GRABHEALTH,kesehatan,Danamon,debit
QRIS PMT NOTARIS PPAT BGR,lainnya,CIMB,debit
PYMNT GOFOOD,makanan,BSI,debit
INFAQ JUMAT 860960,transfer_sosial,BNI,transfer
QRIS PMT TRANSJAKARTA BPN,transport,BCA,debit
PYMNT BUKALAPAK,belanja,BRI,debit
DONASI ARIF HIDAYATULLAH 214146,transfer_sosial,CIMB,transfer
TRF IURAN MUSHOLA SURYA DARMA,transfer_sosial,CIMB,transfer
PRC HYPERMARTBPN,belanja,Permata,debit
NP NOTARIS PPAT TNG,lainnya,BRI,debit
TRF 887430 BNI,tidak_diketahui,CIMB,transfer
PEMBAYARAN CICILAN FIF MOTOR 439966,tagihan,BCA,debit
KONDANGAN PERNIKAHAN CAHYA PRATAMA,transfer_sosial,BNI,transfer
DEBIT EDC APOTEK CENTURY DPS,kesehatan,Danamon,debit
TRSF DB SUMBANGAN CAHYA PRATAMA,transfer_sosial,Mandiri,transfer
BYR TRI HUTCHISON 302841010455,tagihan,Mandiri,debit
DB MAXIM TIKET,transport,Mandiri,debit
NP INUL VIZTA LPG,hiburan,BRI,debit
TRANSFER KE ZAKI ABDILLAH NAFKAH BULANAN,transfer_keluarga,Mandiri,transfer
KIRIM NAFKAH UTAMI DEWI,transfer_keluarga,Mandiri,transfer
SA IB PRIMA Dr Trf 6976378212 KURNIASARI,transfer_keluarga,BCA,transfer
BYR NOTARIS PPAT 4286541708,lainnya,BSI,debit
DB SHOPEEFOOD FOOD,makanan,BSI,debit
IPY PLN PREPAID 214405,tagihan,Danamon,debit
DB EDC H&M BTM,belanja,BCA,debit
QRIS PMT BIMBEL ONLINE 399,pendidikan,BRI,debit
QRIS PMT LAUNDRY SMG 267,lainnya,CIMB,debit
MAKAN GEPREK BENSU MLG,makanan,BSI,debit
TRF UANG JAJAN ANAK EKO PRASETYO,transfer_keluarga,Danamon,transfer
MAKAN MIXUE SBY,makanan,BNI,debit
FOOD WARTEG BAHARI BKS,makanan,Permata,debit
TRSF E-BANKING DB GRABFOOD,makanan,BNI,debit
AUTODEBET INDIHOME TELKOM,tagihan,Mandiri,debit
DB KAI ACCESS RIDE,transport,Mandiri,debit
BYR SERVICE AC 057272335632,lainnya,Mandiri,debit
DEBIT EDC SPORT STATION MKS,belanja,Danamon,debit
trsf e-banking db 4413257774 tono hartono,transfer_sosial,BRI,transfer
KIRIMAN BULANAN SUAMI LESTARI NINGRUM,transfer_keluarga,Danamon,transfer
IPY TOGA MAS,pendidikan,Danamon,debit
DEBIT EDC LABORATORIUM CITO SMG,kesehatan,BNI,debit
DEBIT EDC KURSUS BAHASA EF ENGLISH DPK,pendidikan,BCA,debit
SWITCHING DB IURAN BPJS,tagihan,BCA,debit
TRSF E-BANKING DB BIMBEL ONLINE,pendidikan,Permata,debit
KIRIM UANG ISTRI PUTRI MAHAR,transfer_keluarga,BNI,transfer
PYMNT BUKALAPAK,belanja,Permata,debit
TRSF E-BANKING DB BLIBLI,belanja,BNI,debit
TRANSFER BELANJA KELUARGA EKO PRASETYO,transfer_keluarga,Danamon,transfer
COTTON INK BTM,belanja,Danamon,debit
DEBIT EDC DUFAN DPS,hiburan,BNI,debit
SWITCHING DB CIMB 5179838060 HADI SUSANTO,transfer_keluarga,Permata,transfer
QRIS PMT OPTIK SEIS DPK,belanja,CIMB,debit
TRF KE NANDA WIJAYA PATUNGAN WISATA,transfer_sosial,CIMB,transfer
ipy pln pascabayar 2014103324,tagihan,BRI,debit
RETAIL RANCH MARKET BDG,belanja,CIMB,debit
PRC MAXX COFFEE BPN,makanan,CIMB,debit
QRIS PMT UKT SEMESTER GANJIL,pendidikan,BNI,debit
TRF 0908329453 BRI,tidak_diketahui,CIMB,transfer
QRIS PMT SALON MLG,lainnya,BRI,debit
DONASI SOSIAL ENDAH PURWANTI,transfer_sosial,BCA,transfer
APY INDOSAT OOREDOO 669457,tagihan,BCA,debit
DEBIT EDC LES PRIVAT JKT,pendidikan,BNI,debit
BELANJA GIANT HYPERMARKET DPS,belanja,BCA,debit
PYMNT GOFOOD,makanan,Permata,debit
TRSF E-BANKING DB KURSUS LIA LANGUAGE,pendidikan,Danamon,debit
DB GOFOOD ORDER,makanan,CIMB,debit
PATUNGAN UTAMI DEWI,transfer_sosial,Permata,transfer
DB EDC CINEPOLIS,hiburan,Permata,debit
BAYAR TAGIHAN SMARTFREN,tagihan,BCA,debit
PYMNT SHOPEEFOOD,makanan,CIMB,debit
DB EDC DUFAN 874,hiburan,CIMB,debit
SWITCHING DB TELKOMSEL KARTU ,tagihan,CIMB,debit
DB ZENIUS EDUCAT,pendidikan,BNI,debit
QRIS PMT PARKIR BKS,transport,Mandiri,debit
TRF KE DANA 2545515,topup_ewallet,DANA,ewallet
TRSF E-BANKING DB GRABFOOD,makanan,Permata,debit
VIS INDOMARET,belanja,Mandiri,debit
DEBIT EDC UKT SEMESTER GANJIL MDN,pendidikan,BNI,debit
PYMNT DOKTERKU,kesehatan,Permata,debit
debit edc biaya wisuda sby,pendidikan,Danamon,debit
NP LABORATORIUM PRODIA BPN,kesehatan,BRI,debit
IPY LES PRIVAT,pendidikan,Danamon,debit
QRIS PMT RANCH MARKET PLB,belanja,BCA,debit
DEBIT EDC BIAYA WISUDA SBY,pendidikan,BCA,debit
AUTODEBET IURAN BULANAN RT,tagihan,CIMB,debit
BAYAR KLINIK RS HERMINA PLB,kesehatan,Permata,debit
DB BPJS KETENAGAKERJAAN,tagihan,BSI,debit
TRF PATUNGAN AHMAD FAUZI,transfer_sosial,Mandiri,transfer
E-BANKING DB KLIKDOKTER,kesehatan,BSI,debit
DB GOFOOD ORDER,makanan,Permata,debit
TRF RUTIN BULANAN RINA WATI 2767550258,transfer_keluarga,Mandiri,transfer
RETAIL RANCH MARKET ,belanja,Mandiri,debit
QRIS PMT ERAFONE LPG,belanja,Mandiri,debit
AUTODEBET TAGIHAN BPJS KESEHATAN,tagihan,BCA,debit
TRF BULANAN KE OLIVIA SINAGA,transfer_keluarga,Danamon,transfer
DB DONASI PMI,lainnya,BNI,debit
TRSF DB KIRIMAN KELUARGA WAHYU HIDAYAT,transfer_keluarga,BRI,transfer
TRANSFER  KAS RT ZAKI ABDILLAH,transfer_sosial,BCA,transfer
BYR LES PRIVAT 985427684187,pendidikan,Permata,debit
IPY UKT SEMESTER GANJIL,pendidikan,BCA,debit
PYMNT GRAB,transport,CIMB,debit
BELANJA HERO SUPERMARKET SMG,belanja,Danamon,debit
TRSF E-BANKING DB SEDEKAH,lainnya,CIMB,debit
IPY SHOPEE 742,belanja,Mandiri,debit
TRSF E-BANKING DB TRAVELOKA,transport,BRI,debit
DB TRAVELOKA RIDE,transport,Danamon,debit
SA OB TABUNGAN BISNIS,transfer_internal,Mandiri,transfer
PRC METRO DEPT STORE SMG,belanja,Danamon,debit
NP AQIQAH SOL,lainnya,BRI,debit
BELANJA URBAN REPUBLIC BDG,belanja,BSI,debit
NP DONASI PMI MDN,lainnya,BRI,debit
TRSF E-BANKING DB DUOLINGO PLUS,pendidikan,BCA,debit
PYMNT GOJEK,transport,BRI,debit
CBN FIBER 195226719270,tagihan,BNI,debit
biaya berobat apotek 24 jam,kesehatan,BSI,debit
BYR TAGIHAN CICILAN KENDARAAN,tagihan,Permata,debit
QRIS PMT ZAKAT INFAQ PLB,lainnya,BRI,debit
DEBIT EDC CINEPOLIS SBY,hiburan,CIMB,debit
TRANSFER ANAK KOS LINA MARLINA,transfer_keluarga,BNI,transfer
BYR TAGIHAN KARTU KREDIT BCA 70822276,tagihan,BSI,debit
DB SHOPEEFOOD ORDER,makanan,Danamon,debit
MAKAN ES TEH INDONESIA DPK,makanan,BRI,debit
PYMNT GRAB,transport,BRI,debit
IPY BUKALAPAK,belanja,BRI,debit
IPY UKT SEMESTER GANJIL,pendidikan,BRI,debit
DEBIT EDC BIMBEL PRIMAGAMA BPN,pendidikan,BCA,debit
IPY TRAVELOKA EATS,makanan,Permata,debit
RETAIL OPTIK SEIS PLB,belanja,BNI,debit
DB SERVICE AC,lainnya,BRI,debit
RESTO TOMORO COFFEE LPG,makanan,Mandiri,debit
PRC DOMINO'S PIZZA SBY,makanan,Mandiri,debit
DB DISNEY+ HOTSTAR,hiburan,Danamon,debit
PYMNT HALODOC,kesehatan,BSI,debit
VIS ACE HARDWARE,belanja,Mandiri,debit
DEBIT EDC NAV KARAOKE BDG,hiburan,BRI,debit
TRF 9239674848 Mandiri,tidak_diketahui,CIMB,transfer
PEMBELIAN E-MONEY LinkAja,topup_ewallet,LinkAja,ewallet
NP PARKIR TNG,lainnya,BRI,debit
db edc mixue jkt,makanan,Danamon,debit
SA OB TABUNGAN BISNIS,transfer_internal,Mandiri,transfer
TRF 0979316632 BRI,tidak_diketahui,CIMB,transfer
QRIS PMT ALFAMIDI SOL,belanja,CIMB,debit
SA IB PRIMA Dr Trf 3592771148 UMI KALSUM,transfer_keluarga,BCA,transfer
IPY SPP UNIVERSITAS,pendidikan,Permata,debit
KIRIMAN IBU PANDU ADITYA 7811823233,transfer_keluarga,CIMB,transfer
BYR TAGIHAN IURAN IPL APARTEMEN,tagihan,Danamon,debit
KONDANGAN PERNIKAHAN RINA WATI,transfer_sosial,Permata,transfer
STEAM PURCHASE,hiburan,CIMB,debit
DB EDC BIOSKOP XXI,hiburan,Mandiri,debit
pymnt pln prabayar 960473,tagihan,BRI,debit
BUKALAPAK BELANJA,belanja,BNI,debit
BYR SALON 31725593,lainnya,Permata,debit
QRIS PMT ASURANSI JIWA SMG,lainnya,BSI,debit
PEMBAYARAN QRIS YOSHINOYA,makanan,Danamon,debit
FOOD  KFC SOL,makanan,Permata,debit
TRF ARISAN LINA MARLINA 994029,transfer_sosial,CIMB,transfer
TRSF E-BANKING DB TOKOPEDIA,belanja,BRI,debit
DB EDC TIMEZONE,hiburan,BCA,debit
trf ke hendra gunawan patungan wisata,transfer_sosial,BNI,transfer
NP CUCI MOBIL BKS,lainnya,BRI,debit
BYR PERIPLUS BOOKSTORE 273572124078,pendidikan,BRI,debit
PATUNGAN KADO MEGA PUSPITA,transfer_sosial,BRI,transfer
IPY SPP SEKOLAH DASAR,pendidikan,BNI,debit
BIAYA HIDUP KELUARGA HENDRA GUNAWAN,transfer_keluarga,BSI,transfer
TRF PATUNGAN CAHYA PRATAMA,transfer_sosial,CIMB,transfer
DB MAXX COFFEE MKS,makanan,Danamon,debit
PYMNT BLIBLI,belanja,Permata,debit
PEMBAYARAN FIRSTMEDIA 96101185,tagihan,Permata,debit
BYR BIMBEL PRIMAGAM,pendidikan,CIMB,debit
NP TIMEZONE PLB,hiburan,BRI,debit
TRANSFER KAS RT EKO PRASETYO 741,transfer_sosial,CIMB,transfer
TRSF NAFKAH OKI PRATAMA BULANAN,transfer_keluarga,Mandiri,transfer
TRSF NAFKAH YUSUF RAHMAN BULANAN,transfer_keluarga,Danamon,transfer
PYMNT GRABFOOD,makanan,BNI,debit
SWITCHING DB PGN GAS RUMAH,tagihan,CIMB,debit
DB GRABFOOD ORDER,makanan,Mandiri,debit
VIS  URBAN REPUBLIC,belanja,Mandiri,debit
IPY STEAM PURCHASE,hiburan,Mandiri,debit
TRANSFER BELANJA KELUARGA ZAKI ABDILLAH,transfer_keluarga,Permata,transfer
PRC RUMAH MAKAN PADANG TNG,makanan,Permata,debit
QRIS PMT TOGA MAS,pendidikan,BRI,debit
TRF PATUNGAN DINA FITRIANI,transfer_sosial,Permata,transfer
TRSF E-BANKING DB APPLE STORE,hiburan,Permata,debit
BYR VIA M-BANKING MYREPUBLIC,tagihan,Permata,debit
DB GRAB TIKET,transport,Permata,debit
TRANSFER KAS RT CAHYA PRATAMA,transfer_sosial,BSI,transfer
VIS ERIGO,belanja,Mandiri,debit
SA IB PRIMA Dr Trf 0293996615 GUNAWAN WIB,transfer_keluarga,BCA,transfer
trf ke umi kalsum patungan wisata,transfer_sosial,BSI,transfer
PYMNT DOKTERKU,kesehatan,BRI,debit
TRSF NAFKAH BAYU NUGROHO BULANAN,transfer_keluarga,Permata,transfer
PYMNT DUOLINGO PLUS,pendidikan,Permata,debit
SA IB PRIMA Dr Trf 5839378421 HENDRA GUNAWAN,transfer_keluarga,BCA,transfer
byr via m-banking firstmedia,tagihan,CIMB,debit
PEMBAYARAN GRABFOOD,makanan,CIMB,debit
IPY PLN TOKEN LISTRIK 667048,tagihan,BRI,debit
SWITCHING DB BSI 2691746720 ANISA RAHMA,transfer_sosial,BNI,transfer
PATUNGAN ULANG TAHUN FITRI HANDAYANI,transfer_sosial,BNI,transfer
DONASI SOSIAL ANISA RAHMA,transfer_sosial,Permata,transfer
IPY GRAB,transport,BSI,debit
TRSF E-BANKING DB 0537375851 BAYU NUGROHO RUTIN,transfer_keluarga,Mandiri,transfer
BYR BIAYA UJIAN NASIONAL 264941,pendidikan,BCA,debit
QRIS PMT DOMINO'S PIZZA LPG,makanan,Danamon,debit
AUTODEBET MYREPUBLIC,tagihan,Permata,debit
FOOD ES TEH INDONESIA BPN,makanan,BCA,debit
KIRIM KE ADIK GUNAWAN WIBOWO 2456257611,transfer_keluarga,CIMB,transfer
PYMNT TAGIHAN KARTU KREDIT BCA 655855698427,tagihan,Danamon,debit
BAYAR TAGIHAN XL AXIATA,tagihan,BSI,debit
E-TOLL DPS,transport,BCA,debit
KIRIMAN IBU WAHYU HIDAYAT 3858474846,transfer_keluarga,Danamon,transfer
DB GOFOOD FOOD,makanan,BSI,debit
BYR INDOSAT IM3 53794647,tagihan,BRI,debit
BAYAR KLINIK RS HERMINA DPS,kesehatan,CIMB,debit
DEBIT EDC RS PONDOK INDAH BTM,kesehatan,Danamon,debit
apy pertamina spbu,transport,BCA,debit
DB EDC OPTIK MELAW,kesehatan,BSI,debit
KIRIM KONDANGAN PUTRI MAHARANI,transfer_sosial,BSI,transfer
TRANSFER ANAK KOS FITRI HANDAYANI,transfer_keluarga,Danamon,transfer
DEBIT EDC RS ADVENT BDG,kesehatan,BCA,debit
DB EDC SHELL SPBU,transport,Danamon,debit
DB EDC RS ADVENT,kesehatan,Mandiri,debit
DB EDC ASTRA OTOPARTS,transport,BCA,debit
PATUNGAN KADO YUSUF RAHMAN,transfer_sosial,Mandiri,transfer
PEMBELIAN E-MONEY OVO,topup_ewallet,OVO,ewallet
IPY BIAYA WISUDA,pendidikan,Permata,debit
BYR VIA M-BANKING CICILAN ADIRA FINANCE,tagihan,Permata,debit
trsf e-banking db tri hutchison,tagihan,BCA,debit
IPY PERIPLUS BOOKSTORE,pendidikan,Danamon,debit
TRSF E-BANKING DB 7381500221 KIRIMAN EKO PRASETYO,transfer_keluarga,Danamon,transfer
KIRIM KE ADIK LINA MARLINA 0479001111,transfer_keluarga,CIMB,transfer
DB TIKTOK COINS,hiburan,CIMB,debit
